epoch,value
T0,4681.550666666666
T1,33740.13
T2,33740.13
T3,29549.880666666664
T4,2313.2600000000007
T5,2313.2600000000007
T6,2313.2600000000007
T7,2313.2600000000007
T8,2313.26
T9,2464.824
T10,3449.99
T11,5495.781333333333
T12,34136.86
T13,34136.86
T14,29937.95333333333
T15,2645.06
T16,2645.06
T17,2645.06
T18,2645.06
T19,9147.630000000001
T20,35157.91
T21,35157.91
T22,31350.23266666667
T23,6600.33
T24,6600.33
T25,5846.660666666666
T26,947.8099999999998
T27,2263.619333333333
T28,10816.380000000001
T29,10816.380000000001
T30,15463.836000000001
T31,34053.66
T32,34053.66
T33,27716.218
T34,2366.45
T35,2366.45
T36,2366.45
T37,2366.45
T38,4852.46
T39,14796.5
T40,14796.5
T41,16900.124
T42,22685.09
T43,17281.194
T44,2420.48
T45,2420.48
T46,2420.48
T47,2420.4800000000005
T48,2420.4800000000005
T49,8818.573999999999
T50,34410.95
T51,30132.733999999997
T52,2324.33
T53,2324.33
T54,2324.33
T55,2324.33
T56,2324.33
T57,2514.826
T58,3276.8099999999995
T59,13074.999333333333
T60,40020.02
T61,40020.02
T62,26797.98666666666
T63,353.92
T64,353.92
T65,353.92
T66,353.92
T67,353.92
T68,353.92
T69,353.92
T70,353.92
T71,353.92
T72,353.92
T73,353.92
T74,353.92
T75,4612.501999999999
T76,21646.829999999998
T77,21646.83
T78,21911.646
T79,22639.89
T80,22639.89
T81,14728.965999999997
T82,2862.58
T83,2862.58
T84,2862.58
T85,2862.58
T86,15681.299999999997
T87,41318.74
T88,41318.74
T89,27664.056666666664
T90,354.69
T91,354.69
T92,354.69
T93,354.69
T94,354.68999999999994
T95,354.69
T96,354.69
T97,354.69
T98,354.68999999999994
T99,354.69
T100,354.69
T101,354.69
T102,12818.138
T103,47092.62
T104,47092.62
T105,31791.386666666665
T106,1188.9200000000003
T107,1188.9200000000003
T108,1188.9200000000003
T109,1188.9200000000003
T110,0.0
T111,0.0
